,Category,Quote,Image-link,Quote-url
0,LOVE,Let us see what love can do. ,https://assets.passiton.com/quotes/quote_artwork/6900/medium/20230214_tuesday_quote.jpg,/inspirational-quotes/6900-let-us-see-what-love-can-do
1,LOVE,"We can’t heal the world today. But we can begin with a voice of compassion, a heart of love, and an act of kindness. ",https://assets.passiton.com/quotes/quote_artwork/8169/medium/20230213_monday_quote.jpg,/inspirational-quotes/8169-we-can-t-heal-the-world-today-but-we-can-begin
2,LISTENING,Listen with curiosity. Speak with honesty. Act with integrity. ,https://assets.passiton.com/quotes/quote_artwork/8083/medium/20220210_friday_quote.jpg,/inspirational-quotes/8083-listen-with-curiosity-speak-with-honesty-act
3,LISTENING,The most basic and powerful way to connect to another person is to listen. Just listen. ,https://assets.passiton.com/quotes/quote_artwork/7139/medium/20220209_thursday_quote.jpg,/inspirational-quotes/7139-the-most-basic-and-powerful-way-to-connect-to
4,LISTENING,"Knowledge speaks, but wisdom listens. ",https://assets.passiton.com/quotes/quote_artwork/8376/medium/20220208_wednesday_quote.jpg,/inspirational-quotes/8376-knowledge-speaks-but-wisdom-listens
5,LISTENING,Deep listening is the kind of listening that can help relieve the suffering of another person. ,https://assets.passiton.com/quotes/quote_artwork/7883/medium/20220207_tuesday_quote.jpg,/inspirational-quotes/7883-deep-listening-is-the-kind-of-listening-that
6,LISTENING,"Every person in this life has something to teach—and as soon as you accept that, you open yourself to truly listening. ",https://assets.passiton.com/quotes/quote_artwork/3327/medium/20220206_monday_quote.jpg,/inspirational-quotes/3327-every-person-in-this-life-has-something-to
7,STEWARDSHIP,"There are no problems we cannot solve together, and very few that we can solve by ourselves. ",https://assets.passiton.com/quotes/quote_artwork/5575/medium/20220203_friday_quote.jpg,/inspirational-quotes/5575-there-are-no-problems-we-cannot-solve-together
8,STEWARDSHIP,I always wondered why somebody didn’t do something about that; then I realized that I am somebody. ,https://assets.passiton.com/quotes/quote_artwork/7275/medium/20220202_thursday_quote.jpg,/inspirational-quotes/7275-i-always-wondered-why-somebody-didn-t-do
9,STEWARDSHIP,"Let us develop respect for all living things. Let us try to replace violence and intolerance with understanding, compassion and love. ",https://assets.passiton.com/quotes/quote_artwork/8375/medium/20220201_wednesday_quote.jpg,/inspirational-quotes/8375-let-us-develop-respect-for-all-living-things
10,STEWARDSHIP,"We say 'things will turn out', but no. It's what we do that actually creates the future. ",https://assets.passiton.com/quotes/quote_artwork/8374/medium/20220131_tuesday_quote.jpg,/inspirational-quotes/8374-we-say-things-will-turn-out-but-no-its-what
11,STEWARDSHIP,"When one tugs at a single thing in nature, one finds it attached to the rest of the world. ",https://assets.passiton.com/quotes/quote_artwork/8373/medium/20220130_monday_quote.jpg,/inspirational-quotes/8373-when-one-tugs-at-a-single-thing-in-nature-one
12,RESILIENCE,"Do not judge me by my success, judge me by how many times I fell down and got back up again. ",https://assets.passiton.com/quotes/quote_artwork/8315/medium/20230127_friday_quote.jpg,/inspirational-quotes/8315-do-not-judge-me-by-my-success-judge-me-by-how
13,RESILIENCE,I can be changed by what happens to me. But I refuse to be reduced by it. ,https://assets.passiton.com/quotes/quote_artwork/8372/medium/20230126_thursday_quote.jpg,/inspirational-quotes/8372-i-can-be-changed-by-what-happens-to-me-but-i
14,RESILIENCE,Don’t let a bad day trick you into thinking you have a bad life. ,https://assets.passiton.com/quotes/quote_artwork/8371/medium/20230125_wednesday_quote.jpg,/inspirational-quotes/8371-don-t-let-a-bad-day-trick-you-into-thinking-you
15,RESILIENCE,"Like tiny seeds with potent power to push through tough ground and become mighty trees, we hold innate reserves of unimaginable strength. We are resilient. ",https://assets.passiton.com/quotes/quote_artwork/8313/medium/20230124_tuesday_quote.jpg,/inspirational-quotes/8313-like-tiny-seeds-with-potent-power-to-push
16,RESILIENCE,Hardships often prepare ordinary people for an extraordinary destiny. ,https://assets.passiton.com/quotes/quote_artwork/6940/medium/20230123_monday_quote.jpg,/inspirational-quotes/6940-hardships-often-prepare-ordinary-people-for-an
17,EXPLORING,Not all those who wander are lost. ,https://assets.passiton.com/quotes/quote_artwork/6600/medium/20230120_friday_quote.jpg,/inspirational-quotes/6600-not-all-those-who-wander-are-lost
18,EXPLORING,Life can only be understood backwards but it must be lived forwards. ,https://assets.passiton.com/quotes/quote_artwork/8370/medium/20230119_thursday_quote.jpg,/inspirational-quotes/8370-life-can-only-be-understood-backwards-but-it
